"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"03/04/2021 12:29:32","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","C0:B6:58:A7:1A:E3","APPLE","X3","WLAN","33:33:00:00:00:FB","Unknown","","","fe80::ce:3abf:eaf2:6c12","5353","","","","","ff02::fb","5353","","","","","udp","","","160","","","","","","","","","","","","","","","drop","","","Unhandled link-local or multicast IPv6 packet dropped",""
"03/04/2021 12:29:32","12","Log","E-mail","E-mail Check Error on Load","Simple","Warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","","Problem sending log E-mail; check log settings",""
"03/04/2021 12:29:32","1254","Network","ICMP","LAN ICMPv6 Deny","Standard ICMP Service","Notice","34525","C0:B6:58:A7:1A:E3","APPLE","X0","LAN","33:33:00:00:00:16","Unknown","X0","MULTICAST","fe80::ce:3abf:eaf2:6c12","","","","","","ff02::16","","","","","","ipv6-icmp","143","0","76","","","","","","","","","","","","","","Service Version 2 Multicast Listener Re","drop","","err1: policy not found for packet on Zones(LAN -> MULTICAST)","ICMPv6 packet from LAN dropped",""
"03/04/2021 12:29:32","1257","Network","ICMP","ICMPv6 Packets Dropped","Standard Policy","Notice","34525","C0:B6:58:A7:1A:E3","APPLE","X3","WLAN","33:33:00:00:00:16","Unknown","X3","MULTICAST","fe80::ce:3abf:eaf2:6c12","","","","","","ff02::16","","","","","","ipv6-icmp","143","0","76","","","","","","","","","","","","","","Service Version 2 Multicast Listener Re","drop","","err1: policy not found for packet on Zones(WLAN -> MULTICAST)","ICMPv6 packet dropped due to policy",""
"03/04/2021 12:29:33","1257","Network","ICMP","ICMPv6 Packets Dropped","Standard Policy","Notice","34525","C0:B6:58:A7:1A:E3","APPLE","X3","WLAN","33:33:00:00:00:16","Unknown","X3","MULTICAST","fe80::ce:3abf:eaf2:6c12","","","","","","ff02::16","","","","","","ipv6-icmp","143","0","76","","","","","","","","","","","","","","Service Version 2 Multicast Listener Re","drop","","err1: policy not found for packet on Zones(WLAN -> MULTICAST)","ICMPv6 packet dropped due to policy",""
"03/04/2021 12:29:33","1254","Network","ICMP","LAN ICMPv6 Deny","Standard ICMP Service","Notice","34525","C0:B6:58:A7:1A:E3","APPLE","X0","LAN","33:33:00:00:00:16","Unknown","X0","MULTICAST","fe80::ce:3abf:eaf2:6c12","","","","","","ff02::16","","","","","","ipv6-icmp","143","0","76","","","","","","","","","","","","","","Service Version 2 Multicast Listener Re","drop","","err1: policy not found for packet on Zones(LAN -> MULTICAST)","ICMPv6 packet from LAN dropped",""
"03/04/2021 12:29:35","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 7198, Destination: 172.16.250.228, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:29:39","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve utmgbdata.global.sonicwall.com","Failed to resolve name",""
"03/04/2021 12:29:39","200","Users","Authentication Access","Admin Password Error From CLI","Standard Note String","Warning","","","","","","","","","","39.42.118.244","62084","","","","","","","","","","","","","","","","","","profile1","","","","","","","","","","","NA","","","CLI administrator login denied due to bad credentials",""
"03/04/2021 12:29:42","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve gcsd.global.sonicwall.com","Failed to resolve name",""
"03/04/2021 12:29:46","403","VPN","VPN IKE","Negotiation Aborted","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","IKE negotiation aborted due to Timeout",""
